short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,564429,1,5126418,564429,True,chromosome
2,473308,1,5126418,473308,True,chromosome
3,268282,1,5126418,268282,True,chromosome
4,207119,1,5126418,207119,True,chromosome
5,196089,1,5126418,196089,True,chromosome
6,191540,1,5126418,191540,True,chromosome
7,184264,1,5126418,184264,True,chromosome
8,157634,1,5126418,157634,True,chromosome
9,140309,1,5126418,140309,True,chromosome
10,118012,1,5126418,118012,True,chromosome
11,117998,1,5126418,117998,True,chromosome
12,109259,1,5126418,59077,True,chromosome
13,109231,1,5126418,109231,True,chromosome
14,106413,1,5126418,106413,True,chromosome
15,102511,1,5126418,102511,True,chromosome
16,96722,1,5126418,96722,True,chromosome
17,95694,1,5126418,95694,True,chromosome
18,93757,1,5126418,93757,True,chromosome
19,90667,1,5126418,90667,True,chromosome
20,86637,3,115260,80629,True,plasmid
21,86320,1,5126418,86320,True,chromosome
22,86128,1,5126418,86128,True,chromosome
23,82307,1,5126418,82307,True,chromosome
24,81431,1,5126418,81431,True,chromosome
25,81140,1,5126418,81140,True,chromosome
26,72627,1,5126418,72627,True,chromosome
27,71115,1,5126418,71115,True,chromosome
28,67997,1,5126418,67997,True,chromosome
29,67003,1,5126418,67003,True,chromosome
30,59950,1,5126418,59950,True,chromosome
31,58281,1,5126418,58281,True,chromosome
32,55786,1,5126418,55786,True,chromosome
33,55736,4,55736,55736,True,plasmid
34,50258,1,5126418,50258,True,chromosome
35,36284,1,5126418,36284,True,chromosome
36,35949,1,5126418,35949,True,chromosome
37,34239,1,5126418,34239,True,chromosome
38,33570,1,5126418,33570,True,chromosome
39,33318,1,5126418,33318,True,chromosome
40,32635,1,5126418,32635,True,chromosome
41,29405,2,188419,29405,True,plasmid
42,29293,5,52374,27156,True,plasmid
43,28825,1,5126418,28825,True,chromosome
44,28729,1,5126418,28729,True,chromosome
45,28266,1,5126418,28266,True,chromosome
46,27929,1,5126418,27929,True,chromosome
47,27460,1,5126418,27460,True,chromosome
48,26489,1,5126418,26489,True,chromosome
49,25657,1,5126418,25657,True,chromosome
50,21529,1,5126418,21529,True,chromosome
51,20983,2,188419,20983,True,plasmid
52,18918,1,5126418,18918,True,chromosome
53,18720,2,188419,18720,True,plasmid
54,18447,1,5126418,18447,True,chromosome
55,17834,1,5126418,17834,True,chromosome
56,16952,2,188419,16952,True,plasmid
57,16507,1,5126418,16507,True,chromosome
58,16424,2,188419,16424,True,plasmid
59,16379,1,5126418,16379,True,chromosome
60,12126,1,5126418,12126,True,chromosome
61,11771,1,5126418,11771,True,chromosome
62,11427,2,188419,11427,True,plasmid
63,11280,1,5126418,11280,True,chromosome
64,10916,2,188419,10916,True,plasmid
65,9858,1,5126418,9858,True,chromosome
66,9693,1,5126418,9693,True,chromosome
67,8903,2,188419,6418,True,plasmid
68,7674,1,5126418,7674,True,chromosome
69,7563,2,188419,7563,True,plasmid
70,7330,1,5126418,7330,True,chromosome
71,6918,3,115260,6918,True,plasmid
72,6267,1,5126418,6267,True,chromosome
73,6097,1,5126418,6097,True,chromosome
74,6083,2,188419,6083,True,plasmid
75,4739,2,188419,4739,True,plasmid
76,4501,5,52374,4501,True,plasmid
77,4294,1,5126418,4294,True,chromosome
78,4196,3,115260,4196,True,plasmid
79,3888,1,5126418,3888,True,chromosome
80,3867,1,5126418,3867,True,chromosome
81,3843,5,52374,3843,True,plasmid
82,3733,2,188419,3733,True,plasmid
