short_read_contig_id,short_read_contig_length,mapped_against_hybrid_contig_id,hybrid_contig_length,number_of_residue_matches,is_circular,label
1,408987,1,4650215,408987,True,chromosome
2,270049,1,4650215,270049,True,chromosome
3,263937,1,4650215,263737,True,chromosome
4,229934,1,4650215,176214,True,chromosome
5,226771,1,4650215,226771,True,chromosome
6,218383,1,4650215,218383,True,chromosome
7,215703,1,4650215,215703,True,chromosome
8,179993,1,4650215,179993,True,chromosome
9,152968,1,4650215,152968,True,chromosome
10,147302,1,4650215,147302,True,chromosome
11,127671,1,4650215,127671,True,chromosome
12,125664,1,4650215,125664,True,chromosome
13,119021,1,4650215,119021,True,chromosome
14,109614,1,4650215,109614,True,chromosome
15,106194,1,4650215,106194,True,chromosome
16,104288,1,4650215,104288,True,chromosome
17,94926,1,4650215,94926,True,chromosome
18,90927,1,4650215,90927,True,chromosome
19,88119,1,4650215,88119,True,chromosome
20,79098,1,4650215,79098,True,chromosome
21,78724,1,4650215,78724,True,chromosome
22,73987,1,4650215,73987,True,chromosome
23,73096,1,4650215,73096,True,chromosome
24,71034,1,4650215,71034,True,chromosome
25,61751,1,4650215,61751,True,chromosome
26,58266,1,4650215,58266,True,chromosome
27,55573,1,4650215,55573,True,chromosome
28,49188,1,4650215,33043,True,chromosome
29,49173,1,4650215,49173,True,chromosome
30,47928,1,4650215,47928,True,chromosome
31,43164,1,4650215,43164,True,chromosome
32,42256,1,4650215,42256,True,chromosome
33,41219,1,4650215,41219,True,chromosome
34,39207,1,4650215,39207,True,chromosome
35,38212,1,4650215,38212,True,chromosome
36,37679,1,4650215,37679,True,chromosome
37,33680,2,109770,33680,True,plasmid
38,33319,1,4650215,33319,True,chromosome
39,30882,1,4650215,30882,True,chromosome
40,30055,1,4650215,30055,True,chromosome
41,23355,2,109770,23355,True,plasmid
42,20739,1,4650215,20739,True,chromosome
43,19924,1,4650215,19924,True,chromosome
44,16672,1,4650215,16672,True,chromosome
45,15984,1,4650215,15984,True,chromosome
46,15857,1,4650215,15857,True,chromosome
47,14532,2,109770,12224,True,plasmid
48,11587,2,109770,11587,True,plasmid
49,11274,1,4650215,11274,True,chromosome
50,10423,1,4650215,10423,True,chromosome
51,10393,1,4650215,10393,True,chromosome
52,9808,1,4650215,9808,True,chromosome
53,9082,1,4650215,9082,True,chromosome
54,8481,1,4650215,8481,True,chromosome
55,7955,1,4650215,7955,True,chromosome
56,7885,1,4650215,7885,True,chromosome
57,7508,2,109770,7508,True,plasmid
58,6084,1,4650215,6084,True,chromosome
59,5836,1,4650215,5836,True,chromosome
60,4623,1,4650215,4623,True,chromosome
61,4412,1,4650215,4412,True,chromosome
62,4316,1,4650215,4316,True,chromosome
63,3874,1,4650215,3874,True,chromosome
64,3401,1,4650215,3401,True,chromosome
65,3247,2,109770,3247,True,plasmid
66,2923,1,4650215,2923,True,chromosome
67,2634,1,4650215,2634,True,chromosome
68,2352,1,4650215,2352,True,chromosome
69,2119,2,109770,2119,True,plasmid
70,1955,1,4650215,1955,True,chromosome
71,1922,1,4650215,1922,True,chromosome
72,1876,1,4650215,1876,True,chromosome
73,1860,1,4650215,1860,True,chromosome
74,1858,1,4650215,1858,True,chromosome
75,1581,1,4650215,1581,True,chromosome
76,1574,1,4650215,1574,True,chromosome
77,1528,1,4650215,1528,True,chromosome
78,1463,1,4650215,1463,True,chromosome
79,1356,2,109770,1356,True,plasmid
80,1343,1,4650215,1343,True,chromosome
81,1299,NA,NA,1299,NA,ambiguous
82,1191,1,4650215,1191,True,chromosome
83,1190,1,4650215,1190,True,chromosome
84,1130,1,4650215,1130,True,chromosome
85,1120,1,4650215,1120,True,chromosome
86,1050,NA,NA,1050,NA,ambiguous
87,1040,1,4650215,1035,True,chromosome
88,993,1,4650215,993,True,chromosome
89,848,1,4650215,848,True,chromosome
90,797,1,4650215,797,True,chromosome
91,737,NA,NA,737,NA,ambiguous
92,690,1,4650215,690,True,chromosome
93,673,2,109770,673,True,plasmid
94,661,1,4650215,661,True,chromosome
95,653,1,4650215,653,True,chromosome
